parent;pagetitle;content1;content2;price;picture;picture-big;brand;
32;Ломтерезка SIEMENS MS 78001;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=1945">SIEMENS</a> </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Материал корпуса:</span> нерж. сталь </li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 140 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>                        <li class="tec-char"><span>Количество скоростей:</span> 4 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>140Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>4</td></tr>					</table>;5270;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-78001_STQ1MDkzVHRMMTgw.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-78001_STQ1MDkzVGk.jpg;SIEMENS;
32;Ломтерезка SIEMENS MS 78002;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=1945">SIEMENS</a> </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Материал корпуса:</span> металл </li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 140 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>металл</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>140Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;5500;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-78002_STQ4ODEyVHRMMTgw.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-78002_STQ4ODEyVGk.jpg;SIEMENS;
32;Ломтерезка SIEMENS MS 78002;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=1945">SIEMENS</a> </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Материал корпуса:</span> металл </li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 140 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>металл</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>140Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;5500;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-78002_STQ4ODEyVHRMMTgw.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-78002_STQ4ODEyVGk.jpg;SIEMENS;
32;Ломтерезка KRUPS TR5223 Aoste;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=1221">KRUPS</a> </li>                        <li class="tec-char"><span>Цвет:</span> нержавеющая сталь </li>                        <li class="tec-char"><span>Материал корпуса:</span> металл </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 140 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>нержавеющая сталь</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>металл</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>140Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;5536;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-KRUPS-TR5223-Aoste_STIzMDMyNFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-KRUPS-TR5223-Aoste_STIzMDMyNFRp.jpg;KRUPS;
32;Ломтерезка SIEMENS MS 70002;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=1945">SIEMENS</a> </li>                        <li class="tec-char"><span>Цвет:</span> нержавеющая сталь </li>                        <li class="tec-char"><span>Материал корпуса:</span> нерж. сталь </li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 120 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>нержавеющая сталь</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>120Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;5860;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-70002_STQ4Nzk3VHRMMTgw.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-SIEMENS-MS-70002_STQ4Nzk3VGk.jpg;SIEMENS;
32;Ломтерезка BOSCH MAS 9101;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Материал корпуса:</span> металл </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 140 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>металл</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>140Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;7436;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-9101_STEyNTcwNlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-9101_STEyNTcwNlRp.jpg;BOSCH;
32;Ломтерезка BOSCH MAS 4200;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 17 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 100 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>17мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>100Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;1158;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4200_STEyNDI3MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4200_STEyNDI3MVRp.jpg;BOSCH;
32;Ломтерезка BOSCH MAS 4201;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 17 мм</li>                        <li class="tec-char"><span>Мощность:</span> 100 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>17мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>100Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;1330;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4201_STEyNTgwOVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4201_STEyNTgwOVRp.jpg;BOSCH;
32;Ломтерезка BOSCH MAS 4201;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 17 мм</li>                        <li class="tec-char"><span>Мощность:</span> 100 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>17мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>100Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;1330;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4201_STEyNTgwOVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4201_STEyNTgwOVRp.jpg;BOSCH;
32;Ломтерезка ZELMER 294.5 NP Symbio;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=2430">ZELMER</a> </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 200 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>2.6кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>200Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;1990;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-ZELMER-294-5-NP-Symbio_STI0MTg2OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-ZELMER-294-5-NP-Symbio_STI0MTg2OVRp.jpg;ZELMER;
32;Ломтерезка BOSCH MAS 4601;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 17 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 110 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>17мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>110Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;2450;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4601_STUzNTgwVHRMMTgw.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4601_STUzNTgwVGk.jpg;BOSCH;
32;Ломтерезка BOSCH MAS 6200;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Материал корпуса:</span> алюминий </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 15 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 110 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>алюминий</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>15мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>110Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;2650;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-6200_STQ4ODE1VHRMMTgw.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-6200_STQ4ODE1VGk.jpg;BOSCH;
32;Ломтерезка BOSCH MAS 4600;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/lomterezki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Импульсный режим:</span> Нет </li>                        <li class="tec-char"><span>Максимальная толщина нарезки:</span> 17 мм</li>                        <li class="tec-char"><span>Минимальная толщина нарезки:</span> 1 мм</li>                        <li class="tec-char"><span>Мощность:</span> 110 Вт</li>                        <li class="tec-char"><span>Регулировка толщины нарезки:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Нескользящие ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита от случайного включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Максимальная толщина нарезки:</td><td>17мм</td></tr>						<tr><td class="tthlbl">Минимальная толщина нарезки:</td><td>1мм</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>110Вт</td></tr>						<tr><td class="tthlbl">Приемный лоток:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка толщины нарезки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Толкатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Универсальный, волнообразно заточенный нож из нерж. стали:</td><td>Есть</td></tr>					</table>;2698;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4600_STQ4ODE5VHRMMTgw.jpg;assets/images/kuhonnaya-technika/lomterezki/Lomterezka-BOSCH-MAS-4600_STQ4ODE5VGk.jpg;BOSCH;
